Year,County,Latitude,Longitude,Soybean,Corn,SeasonalPrep,SeasonalTmax,SeasonalTmin,SeasonalAvgTmax,SeasonalAvgTmin,WetDays,DaysA30,DaysB10,DaysB_2,GDD
2006,JO DAVIESS,42.365909,-90.21244602,3632,11164,673.16,33.5825,-3.605,23.83080601,12.10154372,82,21,61,2,2498.7475
2007,JO DAVIESS,42.365909,-90.21244602,3564,12509,651.66,33.1875,-1.7625,25.62062842,12.78189891,71,30,49,0,2670.83125
2008,JO DAVIESS,42.365909,-90.21244602,2892,10962,795.25,30.8525,-0.575,23.86219945,11.53684426,72,6,63,0,2449.70375
2009,JO DAVIESS,42.365909,-90.21244602,3094,11164,758.3175,33.4125,-4.42,22.29919399,10.89076503,81,6,68,2,2254.63875
2010,JO DAVIESS,42.365909,-90.21244602,3705,11897,931.1775,32.3275,-0.2875,24.96935792,12.7602459,77,20,62,0,2653.76
2011,JO DAVIESS,42.365909,-90.21244602,4096,11560,863.6211667,35.27777778,-3.611111111,23.84183364,11.88473993,67,29,66,1,2500.138889
2012,JO DAVIESS,42.365909,-90.21244602,2387,6550,310.2906333,37.77777778,-1.111111111,25.49079134,11.40862174,43,54,79,0,2591.574074
2013,JO DAVIESS,42.365909,-90.21244602,3342,11802,631.0587667,34.81481482,-2.592592594,24.12365918,11.57963975,65,16,66,1,2493.00926
2014,JO DAVIESS,42.365909,-90.21244602,3753,12320,731.3633667,30.92592593,-4.629629628,23.03784659,11.1900425,66,2,63,2,2384.907408
2015,JO DAVIESS,42.365909,-90.21244602,3719,12320,731.2998667,32.40740741,-3.333333333,23.74974701,12.0805505,61,11,51,2,2484.027778
2016,JO DAVIESS,42.365909,-90.21244602,4075,13780,701.4929666,33.14814815,-0.555555556,24.85023275,13.20987654,76,16,47,0,2656.018519
2017,JO DAVIESS,42.365909,-90.21244602,3591,12865,799.3041333,33.33333333,-0.370370372,24.03056062,11.6934831,68,21,63,0,2449.537037
2018,JO DAVIESS,42.365909,-90.21244602,-99,14062,1098.1817,35,-4.444444444,24.44444444,12.67051204,78,22,47,8,2602.5
2019,JO DAVIESS,42.365909,-90.21244602,3739,12704,941.5568334,33.14814815,-4.444444444,23.35458409,12.11040275,90,14,53,1,2461.018519
1950,JOHNSON,37.45969805,-88.88090558,1110,1950,747.98,33.89,0,25.66836066,14.28672131,50,28,31,0,2778.915
1951,JOHNSON,37.45969805,-88.88090558,1009,1681,639.58,38.33,-2.78,27.51076503,14.38092896,46,61,33,1,2915.58
1952,JOHNSON,37.45969805,-88.88090558,673,1278,409.17,41.11,-4.44,30.01693989,14.47814208,33,103,41,2,3035.44
1953,JOHNSON,37.45969805,-88.88090558,807,2018,416.52,39.44,-3.33,30.10038251,14.89677596,33,107,39,1,3083.34
1954,JOHNSON,37.45969805,-88.88090558,1009,1681,551.45,40,-1.11,30.02819672,16.1631694,44,100,23,0,3153.64
1955,JOHNSON,37.45969805,-88.88090558,773,2085,574.59,36.11,2.78,28.93114754,15.3763388,50,83,22,0,3059.175
1956,JOHNSON,37.45969805,-88.88090558,1446,2488,348.49,38.89,-1.67,28.74879781,14.44459016,38,80,41,0,3028.6
1957,JOHNSON,37.45969805,-88.88090558,1311,1950,608.33,35.56,-1.67,28.16295082,15.00901639,42,58,27,0,3031.34
1958,JOHNSON,37.45969805,-88.88090558,1614,2152,785.62,33.89,-1.67,27.27972678,14.62994536,59,43,37,0,2951.965
1959,JOHNSON,37.45969805,-88.88090558,1446,2825,710.69,35,0,28.35147541,15.51945355,45,70,30,0,3079.185
1960,JOHNSON,37.45969805,-88.88090558,1715,2757,392.43,37.22,-1.11,28.77836066,14.62120219,37,67,28,0,3019.97
1961,JOHNSON,37.45969805,-88.88090558,1412,2825,658.6,33.89,-1.67,27.28923497,13.73377049,45,63,47,0,2899.975
1962,JOHNSON,37.45969805,-88.88090558,1278,2892,588,38.33,-4.44,29.12836066,15.29737705,49,80,24,1,3098.285
1963,JOHNSON,37.45969805,-88.88090558,1412,4035,434.6,36.67,-1.67,29.02896175,14.64464481,38,81,36,0,3051.93
1964,JOHNSON,37.45969805,-88.88090558,1446,3228,401.04,40.56,-3.89,29.04994536,15.14568306,34,89,32,2,3057.235
1965,JOHNSON,37.45969805,-88.88090558,1715,3766,626.49,37.83,1.91,28.78153005,15.48218579,57,83,30,0,3104.345
1966,JOHNSON,37.45969805,-88.88090558,1345,3968,562.53,40.17,0.19,28.21710383,14.66945355,59,68,40,0,2957.875
1967,JOHNSON,37.45969805,-88.88090558,1749,5111,506.63,34.3,-0.85,26.85907104,14.09229508,61,56,47,0,2862.12
1968,JOHNSON,37.45969805,-88.88090558,1614,4237,494.69,35.91,0.11,28.33868852,15.23060109,47,77,36,0,3034.605
1969,JOHNSON,37.45969805,-88.88090558,1749,3901,633.44,36.18,0.31,28.50748634,15.22295082,66,78,32,0,3051.185
1970,JOHNSON,37.45969805,-88.88090558,1614,2152,728.86,36.5,1.28,28.76983607,16.25737705,64,77,21,0,3144.85
1971,JOHNSON,37.45969805,-88.88090558,1681,4439,513.33,36.43,0.82,27.79196721,15.05409836,59,69,34,0,3006.315
1972,JOHNSON,37.45969805,-88.88090558,1917,4909,560.35,34.79,2.03,27.59814208,14.97174863,70,66,32,0,2967.275
1973,JOHNSON,37.45969805,-88.88090558,1614,4708,659.99,34.63,2.69,27.78038251,15.94590164,65,72,20,0,3059.065
1974,JOHNSON,37.45969805,-88.88090558,1244,4035,646.32,35.91,-1.02,26.35333333,14.03540984,62,45,40,0,2821.365
1975,JOHNSON,37.45969805,-88.88090558,1614,5044,682.98,33.62,0.44,27.43726776,15.23,65,66,27,0,2978.13
1976,JOHNSON,37.45969805,-88.88090558,1614,4909,561.23,35.88,-0.7,26.63797814,13.20617486,58,43,46,0,2791.005
1977,JOHNSON,37.45969805,-88.88090558,1950,5178,648.08,36.02,-1.16,28.50885246,16.05688525,72,84,26,0,3127.8
1978,JOHNSON,37.45969805,-88.88090558,1446,4237,450.83,37.57,-0.97,27.77333333,14.79628415,54,85,43,0,2946.315
1979,JOHNSON,37.45969805,-88.88090558,1782,6591,583.41,34.7,-2.78,26.91459016,14.36562842,75,50,44,1,2906.63
1980,JOHNSON,37.45969805,-88.88090558,1211,3430,450.99,38.54,-1.34,29.57989071,15.32420765,46,104,42,0,3082.07
1981,JOHNSON,37.45969805,-88.88090558,1849,6120,733.7,34.83,-1.23,27.31448087,14.90087432,72,56,38,0,2966.285
1982,JOHNSON,37.45969805,-88.88090558,1883,6254,595.03,35.45,-0.09,27.70174863,14.69972678,59,54,28,0,2972.295
1983,JOHNSON,37.45969805,-88.88090558,1110,2556,701.2,38.59,-4.47,28.56803279,14.44885246,45,90,43,2,2958.525
1984,JOHNSON,37.45969805,-88.88090558,1681,6658,581.01,34.71,1.66,27.46431694,14.62273224,59,66,39,0,2938.795
1985,JOHNSON,37.45969805,-88.88090558,2152,7330,775.49,34.89,0.39,27.95530055,15.19765027,60,64,29,0,3027.96
1986,JOHNSON,37.45969805,-88.88090558,2085,4506,714.81,36.29,-1.72,28.53256831,15.6131694,68,88,32,0,3090.635
1987,JOHNSON,37.45969805,-88.88090558,1480,6456,439.2,37.4,-3.26,29.13065574,14.75956284,55,96,46,4,3080.1
1988,JOHNSON,37.45969805,-88.88090558,1816,4304,430.9,37.77,-3.66,28.56650273,13.44562842,45,80,52,1,2924.105
1989,JOHNSON,37.45969805,-88.88090558,2018,6658,477.96,33.5,1.8,26.89142077,14.06497268,66,55,48,0,2876.055
1990,JOHNSON,37.45969805,-88.88090558,1917,5985,810.75,36.12,-0.38,27.22,14.62688525,67,56,32,0,2901.115
1991,JOHNSON,37.45969805,-88.88090558,1412,3497,421.19,37.36,-1.26,28.63016393,15.8131694,62,93,36,0,3117.25
1992,JOHNSON,37.45969805,-88.88090558,2253,8070,564.62,34.21,-0.26,26.10923497,14.09398907,56,38,47,0,2818.955
1993,JOHNSON,37.45969805,-88.88090558,2085,5649,743.74,35.15,-1.02,26.90480874,14.83071038,71,66,42,0,2909.57
1994,JOHNSON,37.45969805,-88.88090558,2320,7330,466.8,34.74,2.16,27.03060109,13.97415301,58,56,46,0,2859.04
1995,JOHNSON,37.45969805,-88.88090558,1950,4640,683.5,36.19,0.93,27.39355191,14.86486339,63,71,42,0,2940.88
1996,JOHNSON,37.45969805,-88.88090558,2051,6322,822.4,34.66,2.22,26.85437158,14.70415301,57,61,40,0,2894.975
1997,JOHNSON,37.45969805,-88.88090558,2320,5447,609.04,36.86,-1.52,26.48912568,13.91622951,60,52,44,0,2818.055
1998,JOHNSON,37.45969805,-88.88090558,2253,6456,722.7,35.78,3.98,28.53360656,16.7884153,58,94,23,0,3166.035
1999,JOHNSON,37.45969805,-88.88090558,2018,6792,411.29,38.43,1.73,29.0342623,15.02551913,38,85,39,0,3037.27
2000,JOHNSON,37.45969805,-88.88090558,2421,8205,622.92,37.44,-2.24,27.73568306,15.46453552,64,67,36,1,3048.375
2001,JOHNSON,37.45969805,-88.88090558,2757,9146,670.57,36.09,-2.42,28.02918033,15.32765027,61,68,28,1,3048.02
2002,JOHNSON,37.45969805,-88.88090558,1816,5380,630.97,37.21,1.39,29.32519126,16.85868852,55,100,29,0,3201.76
2003,JOHNSON,37.45969805,-88.88090558,2892,7465,700.47,34.75,-0.29,26.37486339,14.08306011,55,43,43,0,2812.13
2004,JOHNSON,37.45969805,-88.88090558,2959,10424,517.14,35,1.66,27.86508197,15.07016393,60,53,25,0,3016.355
2005,JOHNSON,37.45969805,-88.88090558,2556,8675,531.7,35.96,1.17,28.60710383,15.89360656,56,92,37,0,3104.835
2006,JOHNSON,37.45969805,-88.88090558,2825,8810,687.28,35.44,-1.51,27.88442623,15.56672131,67,72,31,0,3017.2
2007,JOHNSON,37.45969805,-88.88090558,2219,7868,344.89,39.4,2.53,30.29595628,16.40010929,51,104,20,0,3230.85
2008,JOHNSON,37.45969805,-88.88090558,2623,10289,562.21,35.72,-1.07,27.88136612,15.45713115,83,67,32,0,3036.1775
2009,JOHNSON,37.45969805,-88.88090558,2556,9213,936.31,34.59,4.34,26.65360656,15.31863388,92,44,30,0,2926.51
2010,JOHNSON,37.45969805,-88.88090558,2105,7155,476.25,39.39,0.67,29.47229508,15.84087432,61,107,31,0,3143.45
2011,JOHNSON,37.45969805,-88.88090558,2488,8561,601.388,37.22222222,2.222222222,29.05282332,17.64369561,183,92,20,0,3233.148149
2012,JOHNSON,37.45969805,-88.88090558,-99,-99,584.2096,40.55555556,0.555555556,30.05717466,16.12629022,183,97,25,0,3140.601852
2013,JOHNSON,37.45969805,-88.88090558,-99,10383,632.07352,36.11111111,-0.370370372,27.69884639,16.53207853,183,59,25,0,3108.75
2014,JOHNSON,37.45969805,-88.88090558,2690,9570,646.046224,35.55555556,-1.666666667,27.56628213,15.61424813,183,58,26,0,3028.333334
2015,JOHNSON,37.45969805,-88.88090558,2777,-99,587.9934688,34.44444444,2.777777778,27.63610605,16.23355596,183,56,22,0,3084.537037
2016,JOHNSON,37.45969805,-88.88090558,-99,6315,610.3421625,34.81481482,3.333333333,28.5923902,16.9075086,183,81,22,0,3184.305556
2017,JOHNSON,37.45969805,-88.88090558,3228,10215,612.1329951,35.55555556,5.277777778,28.38140053,16.17536936,183,68,13,0,3114.62963
2018,JOHNSON,37.45969805,-88.88090558,-99,-99,614.8959495,35.55555556,-2.222222222,28.7123052,17.25612224,171,94,21,1,3235.231482
2019,JOHNSON,37.45969805,-88.88090558,-99,-99,642.4973513,34.81481482,0.185185183,28.64399919,16.34486946,58,86,22,0,3155.462963
1950,KANE,41.93881562,-88.4286053,1580,3766,566.9466667,33.02333333,-2.773333333,23.67347905,10.79905282,47,17,77,2,2390.445
1951,KANE,41.93881562,-88.4286053,1681,4035,581.12,32.75333333,-3.06,23.90209472,10.9617122,54,16,66,4,2426.581667
1952,KANE,41.93881562,-88.4286053,1782,4708,465.6533333,35.83666667,-5.84,25.28449909,11.5515847,45,45,70,3,2585.296667
1953,KANE,41.93881562,-88.4286053,1715,4775,474.55,37.51333333,-4.776666667,25.87759563,11.29939891,43,51,76,5,2591.298334
1954,KANE,41.93881562,-88.4286053,1816,4708,797.83,35.68666667,-1.883333333,25.09590164,12.17697632,60,42,65,0,2591.381667
1955,KANE,41.93881562,-88.4286053,1648,4170,562.8266666,36.99666667,1.306666667,26.38575592,13.05852459,46,53,64,0,2719.433334
1956,KANE,41.93881562,-88.4286053,2051,5178,415.9,36.87333333,-5.183333333,24.90459016,11.46520947,46,32,66,4,2572.625
1957,KANE,41.93881562,-88.4286053,1917,4842,604.33,34.65333333,-0.266666667,24.71588342,12.28234973,54,30,64,0,2568.76
1958,KANE,41.93881562,-88.4286053,1883,5044,535.87,34.20333333,-2.656666667,24.46590164,11.34619308,46,18,75,1,2508.875
1959,KANE,41.93881562,-88.4286053,2219,5246,609.08,34.63666667,-2.956666667,25.60664845,13.4364663,55,51,51,2,2726.506667
1960,KANE,41.93881562,-88.4286053,1849,4909,533.41,35.27,-1.24,24.76005465,12.62398907,64,25,52,0,2580.946667
1961,KANE,41.93881562,-88.4286053,2051,5313,682.18,34.7,-3.353333333,24.44380692,11.54591985,55,31,73,1,2535.668334
1962,KANE,41.93881562,-88.4286053,1883,5851,367.1666667,34.62666667,-5.453333333,25.62925319,12.43435337,56,36,55,2,2642.488334
1963,KANE,41.93881562,-88.4286053,1883,5985,514.46,36.36,-2.28,25.52111111,11.5815847,52,39,69,1,2582.33
1964,KANE,41.93881562,-88.4286053,2051,6322,538.7166667,35.14666667,-5.35,25.39542805,11.85278689,57,45,69,4,2601.981667
1965,KANE,41.93881562,-88.4286053,2018,6389,594.8966667,35.76333333,-0.836666667,24.4971949,11.45473588,69,23,66,0,2500.545
1966,KANE,41.93881562,-88.4286053,1681,6187,530.5333333,37.34666667,-5.47,24.58856102,10.79149362,52,38,76,4,2473.243334
1967,KANE,41.93881562,-88.4286053,1782,6792,488.15,33.29666667,-5.536666667,23.36397086,10.65378871,72,16,79,4,2378.113334
1968,KANE,41.93881562,-88.4286053,2421,6994,553.93,34.43,-1.333333333,24.68888889,12.21313297,65,33,67,0,2555.27
1969,KANE,41.93881562,-88.4286053,2287,7129,650.5766666,33.51666667,-1.78,24.37531876,12.12136612,64,26,63,0,2544.023334
1970,KANE,41.93881562,-88.4286053,2219,5447,806.2566666,35.33333333,0.17,25.47143898,13.24901639,69,40,53,0,2684.958334
1971,KANE,41.93881562,-88.4286053,2152,6927,359.04,36.75,-1.666666667,25.89783242,11.54865209,59,51,66,0,2621.706667
1972,KANE,41.93881562,-88.4286053,2320,6725,894.6433333,34.28666667,-2.256666667,24.39936248,11.9589071,76,33,65,1,2524.461667
1973,KANE,41.93881562,-88.4286053,2085,6658,650.4733333,34.56666667,-0.326666667,25.04313297,13.32723133,67,37,46,0,2656.396667
1974,KANE,41.93881562,-88.4286053,1648,4909,622.6033333,35.42,-4.406666667,23.89464481,11.15457195,61,23,76,2,2426.6
1975,KANE,41.93881562,-88.4286053,2522,7532,658.35,34.50333333,-0.856666667,25.12945355,12.21728597,71,40,68,0,2613.633334
1976,KANE,41.93881562,-88.4286053,2287,7532,456.4433333,35.07666667,-2.043333333,24.18123862,10.85260474,45,26,72,1,2440.988334
1977,KANE,41.93881562,-88.4286053,2757,8339,623.22,35.27333333,-2.243333333,24.88925319,12.17901639,64,36,54,1,2575.618334
1978,KANE,41.93881562,-88.4286053,2354,8205,739.1,34.44666667,-2.766666667,24.00579235,11.93584699,60,21,65,1,2517.146667
1979,KANE,41.93881562,-88.4286053,2825,8810,613.3333334,31.89,-2.27,23.73163934,11.12726776,50,15,75,1,2442.893334
1980,KANE,41.93881562,-88.4286053,2690,8003,646.1733333,33.99,-2.67,24.33508197,11.80120219,58,26,71,3,2529.733334
1981,KANE,41.93881562,-88.4286053,2858,9146,683.1833333,32.90333333,-1.596666667,23.19335155,11.40265938,59,7,68,0,2410.513334
1982,KANE,41.93881562,-88.4286053,2623,9550,501.6366667,31.74333333,-1.58,24.14032787,11.68045537,49,12,65,0,2470.91
1983,KANE,41.93881562,-88.4286053,2556,6994,550.8666667,36.00666667,-6.503333333,24.99945355,11.83540984,55,57,68,5,2571.405
1984,KANE,41.93881562,-88.4286053,2253,8474,501.9866667,35.20333333,-1.146666667,24.62420765,11.94621129,68,37,60,0,2550.04
1985,KANE,41.93881562,-88.4286053,2825,9819,472.5133333,34.13,-0.19,24.81845173,11.89431694,52,23,63,0,2547.006667
1986,KANE,41.93881562,-88.4286053,2556,8944,642.5833333,34.30666667,-4.536666667,24.18857924,12.04775956,68,21,55,2,2510.753334
1987,KANE,41.93881562,-88.4286053,3094,9550,731.61,34.42333333,-3.093333333,25.19845173,12.59302368,64,43,62,3,2643.755
1988,KANE,41.93881562,-88.4286053,2387,7061,356.2266667,38.05666667,-5.223333333,26.12688525,11.8970674,36,59,63,4,2645.256667
1989,KANE,41.93881562,-88.4286053,2858,9684,614.4233333,36.54,-2.733333333,23.98947177,10.97420765,53,19,73,4,2462.583334
1990,KANE,41.93881562,-88.4286053,2925,8877,679.5333333,33.69333333,-2.953333333,23.92058288,12.09357013,63,16,64,1,2507.328334
1991,KANE,41.93881562,-88.4286053,2858,6860,454.5866667,37.23,-1.013333333,26.01579235,13.07903461,48,61,52,0,2730.038334
1992,KANE,41.93881562,-88.4286053,2825,8743,472.5866667,32.69,-1.72,22.93566485,10.47083789,62,9,80,0,2310.165
1993,KANE,41.93881562,-88.4286053,2757,7801,725.3333333,33.64666667,-2.133333333,23.28193078,12.14586521,61,15,67,1,2473.013334
1994,KANE,41.93881562,-88.4286053,3430,11096,492.3833333,35.73666667,-0.253333333,24.50932605,11.49819672,50,29,68,0,2501.761667
1995,KANE,41.93881562,-88.4286053,3127,8474,610.9833333,38.43666667,-2.03,24.91147541,12.94681239,56,50,68,1,2612.24
1996,KANE,41.93881562,-88.4286053,2354,9348,801.09,33.84666667,-2.366666667,23.36397086,11.36837887,58,22,73,2,2414.153334
1997,KANE,41.93881562,-88.4286053,3094,9684,437.1133333,35.74,-3.443333333,24.19854281,11.11242259,49,28,71,1,2457.948334
1998,KANE,41.93881562,-88.4286053,3463,11433,606.6666667,35.09,-0.023333333,25.60102004,12.93657559,63,39,54,0,2684.16
1999,KANE,41.93881562,-88.4286053,3228,10222,673.5833333,36.65666667,-0.876666667,25.00677596,11.8204918,57,44,71,0,2565.543334
2000,KANE,41.93881562,-88.4286053,2623,10088,712.55,34.01333333,-3.53,24.22504554,11.65657559,57,18,61,4,2513.738334
2001,KANE,41.93881562,-88.4286053,2757,8944,644.8333333,35.96333333,-3.006666667,24.95777778,12.24754098,67,42,67,4,2556.375
2002,KANE,41.93881562,-88.4286053,2757,8541,619.8566667,35.23333333,-1.103333333,25.47737705,13.50377049,48,53,56,0,2718.335
2003,KANE,41.93881562,-88.4286053,2421,11231,556.2433333,34.79666667,-2.53,24.3517122,12.14590164,62,25,67,1,2522.266667
2004,KANE,41.93881562,-88.4286053,3161,11702,575.1533333,31.62333333,-2.29,24.18023679,11.95005464,54,9,58,1,2502.388334
2005,KANE,41.93881562,-88.4286053,2757,8137,285.2,35.52666667,-0.906666667,26.16520947,13.6932969,36,58,49,0,2771.03
2006,KANE,41.93881562,-88.4286053,3564,11971,620.4966667,36.17,-2.71,24.24859745,12.83834244,68,24,60,2,2582.28
2007,KANE,41.93881562,-88.4286053,3363,12509,703.7833333,33.46666667,-1.266666667,25.99245902,13.66816029,55,39,47,0,2764.548334
2008,KANE,41.93881562,-88.4286053,2959,12643,739.2666667,33.06666667,-0.606666667,24.38218579,12.34428051,53,15,56,0,2555.025
2009,KANE,41.93881562,-88.4286053,2959,10760,632.8466667,34.83666667,-3.133333333,22.913898,11.5471949,67,13,63,1,2359.791667
2010,KANE,41.93881562,-88.4286053,3820,11984,707.14,33.44666667,-0.553333333,25.47105647,13.46617486,59,40,54,0,2726.363334
2011,KANE,41.93881562,-88.4286053,3867,11782,783.8049498,36.29629629,-1.481481483,24.32048168,12.82736288,78,36,61,0,2575.925926
2012,KANE,41.93881562,-88.4286053,3127,9462,385.707188,38.70370372,-1.666666667,25.7842542,12.42865817,50,63,65,0,2653.703704
2013,KANE,41.93881562,-88.4286053,3833,12892,629.6823562,33.88888889,-2.037037039,24.74094313,12.36187007,76,23,60,1,2583.472223
2014,KANE,41.93881562,-88.4286053,3840,12482,767.2874885,31.29629629,-4.444444444,23.82159482,12.06284153,74,6,61,1,2501.527778
2015,KANE,41.93881562,-88.4286053,3860,12374,729.3299433,32.96296296,-2.592592594,24.38221008,12.87795993,70,19,52,1,2588.148148
2016,KANE,41.93881562,-88.4286053,4338,14176,695.3224461,32.77777778,1.666666667,25.59400931,14.01234568,74,35,42,0,2774.62963
2017,KANE,41.93881562,-88.4286053,3605,11863,815.2308577,33.88888889,0.740740739,25.01315523,12.58652095,70,23,50,0,2593.981482
2018,KANE,41.93881562,-88.4286053,3961,12737,830.8919145,35.18518518,-3.333333333,25.5034406,13.58986035,77,48,37,5,2739.62963
2019,KANE,41.93881562,-88.4286053,3383,11823,925.6067965,33.88888889,-1.666666667,24.44140862,13.02924509,89,29,49,0,2590.972223
1950,KENDALL,41.59053599,-88.42882338,1681,3295,585.4533333,33.13666667,-2.12,24.19307832,11.3267031,43,21,65,1,2462.846667
1951,KENDALL,41.59053599,-88.42882338,1883,3968,614.6966667,33.12333333,-2.203333333,24.54156648,11.47695811,48,25,61,2,2511.268334
1952,KENDALL,41.59053599,-88.42882338,1883,4640,466.9966667,35.89666667,-6.086666667,25.79528233,11.75276867,60,50,69,3,2639.23
1953,KENDALL,41.59053599,-88.42882338,1782,3901,503.3766667,38.05333333,-4.813333333,26.48772313,11.95617486,51,59,68,4,2673.02
1954,KENDALL,41.59053599,-88.42882338,1984,4371,744.0166667,36.74,-1.61,26.15204007,12.95273224,61,53,56,0,2716.001667
1955,KENDALL,41.59053599,-88.42882338,1648,3901,560.2166667,37.39,2.2,27.13566485,13.60211293,50,63,61,0,2800.675
1956,KENDALL,41.59053599,-88.42882338,1849,4573,396.5566667,37.80333333,-4.366666667,26.01799636,12.10724954,50,48,64,3,2690.646667
1957,KENDALL,41.59053599,-88.42882338,1950,4842,607.05,35.01,0.193333333,25.40387978,12.95183971,55,32,57,0,2673.11
1958,KENDALL,41.59053599,-88.42882338,2085,4640,543.5333333,34.12666667,-2.076666667,25.10892532,12.05959927,45,27,66,1,2606.548334
1959,KENDALL,41.59053599,-88.42882338,2018,4909,598.8033333,35.08666667,-3.133333333,26.58754098,13.87666667,57,61,47,1,2825.95
1960,KENDALL,41.59053599,-88.42882338,2051,4909,465.09,35.69666667,-0.77,25.5120765,12.81542805,47,30,49,0,2654.738334
1961,KENDALL,41.59053599,-88.42882338,2051,5246,729.31,34.93,-3.333333333,25.01644809,11.88542805,52,38,70,1,2600.015
1962,KENDALL,41.59053599,-88.42882338,1816,5649,358.4833333,34.7,-5.26,26.22675774,12.7887796,47,43,48,2,2707.768334
1963,KENDALL,41.59053599,-88.42882338,1816,5246,417.5733333,36.52,-1.326666667,26.05340619,11.96360656,43,46,60,0,2636.606667
1964,KENDALL,41.59053599,-88.42882338,1849,5716,474.13,35.7,-4.31,25.9352459,12.48794171,54,49,63,2,2674.885
1965,KENDALL,41.59053599,-88.42882338,2018,6053,623.73,36.12333333,0.08,25.01107468,12.4015847,63,33,59,0,2595.451667
1966,KENDALL,41.59053599,-88.42882338,1950,6322,537.9566667,37.66,-4.246666667,25.0579235,11.41295082,48,43,72,1,2535.871667
1967,KENDALL,41.59053599,-88.42882338,1782,6456,438.6433333,34.02,-4.21,23.78043716,11.02704918,64,21,74,3,2429.518334
1968,KENDALL,41.59053599,-88.42882338,2421,6658,468.52,35.17,-1.83,25.3707286,12.4510929,54,37,63,0,2623.195
1969,KENDALL,41.59053599,-88.42882338,2287,6994,685.95,34.63,-1.106666667,25.06530055,12.21056466,63,36,60,0,2600.966667
1970,KENDALL,41.59053599,-88.42882338,2018,5044,792.9766667,36.65333333,0.123333333,26.30846995,13.42198543,72,51,46,0,2754.263334
1971,KENDALL,41.59053599,-88.42882338,1950,6523,383.31,36.41333333,-1.48,26.59717669,11.90437158,56,61,67,0,2699.011667
1972,KENDALL,41.59053599,-88.42882338,2118,7398,817.4466667,34.90333333,-3.37,24.96307832,12.38202186,78,39,62,1,2592.863334
1973,KENDALL,41.59053599,-88.42882338,2018,6591,628.2066667,35.36666667,-0.216666667,25.9148816,13.52440801,72,44,43,0,2730.631667
1974,KENDALL,41.59053599,-88.42882338,1816,4977,545.2733333,36.31666667,-3.656666667,24.82939891,11.58371585,61,34,66,3,2529.581667
1975,KENDALL,41.59053599,-88.42882338,2354,7398,672.2433333,34.33666667,-0.053333333,25.63897996,12.3798725,72,45,68,0,2658.590001
1976,KENDALL,41.59053599,-88.42882338,1883,6591,447.64,35.12666667,-1.883333333,25.30639344,11.09034608,52,39,75,0,2538.935
1977,KENDALL,41.59053599,-88.42882338,2623,7532,778.1966667,36.33333333,-2.07,25.8428051,12.4108561,70,46,53,1,2664.155
1978,KENDALL,41.59053599,-88.42882338,2051,7263,608.0333333,34.76,-3.143333333,24.95464481,12.07659381,59,35,66,1,2607.56
1979,KENDALL,41.59053599,-88.42882338,2556,8474,527.6233333,32.55666667,-2.393333333,24.61047359,11.60573771,52,29,75,1,2546.098334
1980,KENDALL,41.59053599,-88.42882338,2589,7936,631.34,36.37666667,-2.89,25.59344262,12.18897996,64,41,70,2,2649.49
1981,KENDALL,41.59053599,-88.42882338,2825,8406,704.22,34.58333333,-1.596666667,24.25752277,11.99910747,61,15,64,0,2537.808334
1982,KENDALL,41.59053599,-88.42882338,2623,9213,519.42,32.94,-1.66,25.10934426,11.95622951,49,17,63,0,2574.818334
1983,KENDALL,41.59053599,-88.42882338,2488,6053,556.95,37.17666667,-6.33,25.77371585,12.2847541,62,65,65,5,2646.116667
1984,KENDALL,41.59053599,-88.42882338,1816,6322,420.66,35.51666667,-0.893333333,25.13468124,12.15061931,62,41,59,0,2602.581667
1985,KENDALL,41.59053599,-88.42882338,2724,8743,370.3566667,34.17666667,0.146666667,25.42409836,12.27504554,58,26,60,0,2626.018334
1986,KENDALL,41.59053599,-88.42882338,2522,8541,600.6433333,35.25333333,-4.9,25.40706739,12.57180328,66,37,50,2,2648.045
1987,KENDALL,41.59053599,-88.42882338,2959,9348,633.3433333,35.61666667,-3.013333333,26.16282332,13.24867031,57,52,59,3,2757.946667
1988,KENDALL,41.59053599,-88.42882338,2186,5784,285.1633333,38.30333333,-4.673333333,27.12127505,12.35264117,40,67,61,3,2740.230001
1989,KENDALL,41.59053599,-88.42882338,2993,10020,605.94,36.58333333,-2.513333333,24.72630237,11.71304189,58,20,65,1,2562.868334
1990,KENDALL,41.59053599,-88.42882338,2858,8205,751.68,34.18666667,-3.243333333,24.66163934,12.65129326,67,27,58,1,2598.103334
1991,KENDALL,41.59053599,-88.42882338,2018,4439,441.0366667,37.17666667,-0.343333333,26.80874317,13.75216758,54,67,47,0,2828.401667
1992,KENDALL,41.59053599,-88.42882338,3127,9819,526.89,32.45666667,-1.753333333,23.77118397,10.98324226,57,11,71,0,2409.385
1993,KENDALL,41.59053599,-88.42882338,3161,8944,801.54,33.63,-1.436666667,24.36060109,12.68826958,66,25,59,0,2599.365
1994,KENDALL,41.59053599,-88.42882338,3396,11096,470.3766667,35.29333333,0.353333333,25.23663024,11.84765027,51,27,65,0,2577.971667
1995,KENDALL,41.59053599,-88.42882338,2757,6994,490.55,39.23333333,-1.633333333,25.80473588,13.31174863,57,64,61,0,2697.213334
1996,KENDALL,41.59053599,-88.42882338,2320,8877,718.4233333,33.68,-2.026666667,23.50462659,11.50854281,57,23,68,1,2428.316667
